"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","334","12.2",43.7,"108.4","86.6","95.1","89.6","84.2","379","158","364","82",24.6,"6",1.8,1.6
"Semien, Marcus","543760","292","16.7",34.2,"112.1","87.4","97.8","91.6","83.1","412","178","384","102",34.9,"19",6.5,5.1
"Garcia, Maikel","672580","288","7.8",32.3,"108.6","91","100.5","93","90.5","422","146","401","126",43.8,"13",4.5,3.5
"Díaz, Yandy","650490","284","3.7",28.2,"114","92.5","103.3","94.3","92.2","439","132","393","140",49.3,"17",6,4.6
"Witt Jr., Bobby","677951","284","14.5",35.2,"116.9","92.5","103.8","94.8","91.1","468","185","423","139",48.9,"41",14.4,10.9
"Bohm, Alec","664761","277","12.4",37.2,"110.8","90.4","100.8","92.9","89.1","427","173","397","124",44.8,"24",8.7,6.8
"Ramírez, José","608070","276","19",33,"116.6","89.8","99.9","93.4","87.4","436","185","388","111",40.2,"27",9.8,7.8
"Bregman, Alex","608324","274","19.2",31,"107.2","88","97.6","91.8","86.4","414","165","380","97",35.4,"13",4.7,3.7
"Volpe, Anthony","683011","273","5.4",34.8,"108.2","87.7","98.5","91.5","84.6","406","145","372","103",37.7,"12",4.4,3.1
"Lindor, Francisco","596019","273","17.2",34.1,"109.6","90.4","100.5","94.6","84.8","431","184","397","128",46.9,"35",12.8,9.4
"Altuve, Jose","514888","270","14.7",37.4,"107.9","86.7","97.3","88.8","84.7","438","162","396","88",32.6,"21",7.8,5.8
"Contreras, William","661388","268","5.7",29.9,"114.6","92.5","103.8","97.3","89.4","448","145","405","136",50.7,"24",9,6.5
"Guerrero Jr., Vladimir","665489","264","5.3",30.3,"117.6","94.5","106.5","99.3","91.6","471","150","413","152",57.8,"36",13.6,9.9
"Verdugo, Alex","657077","264","9.6",33.7,"110.1","88.5","98.1","90.9","86.9","420","152","388","98",37.1,"15",5.7,4.4
"Peña, Jeremy","665161","264","9.1",31.8,"109.5","88.4","99.4","91","87.2","416","146","393","103",39,"10",3.8,2.9
"Duran, Jarren","680776","263","9.1",36.1,"113.1","91.5","102.7","95.1","89.2","433","161","406","124",47.1,"24",9.1,6.3
"Rutschman, Adley","668939","262","17.5",41.2,"109.3","89.5","99.4","91.2","87.6","425","193","393","113",43.1,"23",8.8,6.4
"Cronenworth, Jake","630105","261","14.3",35.6,"109.7","89.9","100.2","93.4","87.3","422","174","398","102",39.1,"24",9.2,6.7
"Freeman, Freddie","518692","260","14.5",43.5,"112.3","89.2","100.3","92.7","84.3","430","188","395","106",40.8,"27",10.4,7.3
"Alvarez, Yordan","670541","259","17.8",34.7,"116.8","92.8","103.5","95","90.5","461","197","406","120",46.3,"35",13.5,9.9
"Giménez, Andrés","665926","259","8",34.4,"106.3","86","96.3","88.8","83.8","413","141","399","72",27.8,"10",3.9,3
"Marte, Ketel","606466","258","7.6",34.9,"117","93.3","103.4","96.8","92.2","461","161","406","137",53.1,"27",10.5,7.5
"Donovan, Brendan","680977","258","12.9",35.7,"108.7","88.8","98.6","92.1","87.2","422","166","388","99",38.5,"15",5.8,4.4
"Reynolds, Bryan","668804","255","8.5",32.5,"111.6","89.6","101.4","95","84.7","440","156","409","120",47.1,"26",10.2,7
"Pasquantino, Vinnie","686469","255","17.1",32.5,"111.6","91.3","100.9","94.1","91.8","442","183","398","120",47.1,"19",7.5,5.7
"Bell, Josh","605137","254","12.5",29.9,"110.6","88.5","99.8","92.6","85.7","428","157","401","97",38.2,"17",6.7,4.9
"Tovar, Ezequiel","678662","250","19.3",37.6,"107.2","88.1","98.6","92.3","85.2","443","192","404","95",38,"20",8,5.5
"Ohtani, Shohei","660271","250","13.3",38,"119.2","95.5","106.7","99.2","91.8","476","189","418","152",60.8,"48",19.2,12.8
"Albies, Ozzie","645277","250","19.4",34,"108.7","88.6","96.8","91.2","87","408","173","388","78",31.2,"13",5.2,4
"Betts, Mookie","605141","249","20.1",40.2,"109.4","90.5","98.9","92.3","88.4","410","203","390","100",40.2,"15",6,4.5
"Adames, Willy","642715","249","20.7",34.5,"109.1","88.4","99.1","92.8","83.6","446","184","405","97",39,"25",10,6.8
"Gurriel Jr., Lourdes","666971","248","15.5",31.5,"109.4","88.8","99.5","92.2","86.3","425","173","393","101",40.7,"19",7.7,5.8
"Profar, Jurickson","595777","248","12.1",37.1,"109.7","90.4","100.2","92.2","89.9","406","163","378","100",40.3,"16",6.5,4.6
"Castellanos, Nick","592206","247","14.4",35.2,"113.1","87.8","99.4","91.6","84.4","445","181","401","98",39.7,"19",7.7,5.4
"Hoerner, Nico","663538","247","9.1",34,"110.1","86.4","96.8","88.8","85.8","387","148","377","75",30.4,"5",2,1.6
"Arenado, Nolan","571448","246","19.1",38.2,"107.5","85.1","96.2","88.7","81.4","425","166","388","70",28.5,"8",3.3,2.5
"Carroll, Corbin","682998","246","10.6",26.4,"111.5","87.6","100.1","92.3","87.6","406","138","379","89",36.2,"10",4.1,2.9
"Alonso, Pete","624413","244","15.2",29.9,"116.3","88.9","101.4","94.2","85.3","446","170","407","101",41.4,"31",12.7,8.6
"Merrill, Jackson","701538","243","11.7",37.4,"111.6","89.8","100.7","92.8","86.8","440","174","395","106",43.6,"21",8.6,6.8
"Diaz, Yainer","673237","242","8.3",31,"111.3","90.3","101.1","93.8","88.7","435","143","382","115",47.5,"17",7,5.8
"Abrams, CJ","682928","242","15.7",39.3,"110","89.4","100.2","93.8","85.3","429","180","403","105",43.4,"17",7,5
"Santander, Anthony","623993","242","22.4",38,"114.4","89","99.8","94.3","84.2","440","195","393","93",38.4,"27",11.2,8.1
"De La Cruz, Bryan","650559","242","14",34.7,"110.5","89.5","100.2","94.4","84.2","432","178","399","105",43.4,"26",10.7,7.3
"Bleday, JJ","668709","241","18.8",37.8,"113.3","89.2","99.5","91.3","87.2","417","185","399","87",36.1,"20",8.3,5.8
"Kim, Ha-Seong","673490","241","14.8",35.3,"107.8","87.8","98.5","92.8","86.2","405","164","386","85",35.3,"12",5,3.5
"Turang, Brice","668930","240","6.7",31.7,"107.8","88.5","97.6","90.4","88.6","419","134","387","80",33.3,"8",3.3,2.5
"Henderson, Gunnar","683002","240","10.1",34.2,"113.1","94","104.1","96.6","92.5","430","166","402","138",57.5,"32",13.3,8.4
"Perez, Salvador","521692","240","18.7",39.2,"113.3","92","102.5","95.3","88.1","447","200","413","115",47.9,"32",13.3,9.6
"Rodríguez, Julio","677594","240","6.8",31.7,"114.5","91.2","103.4","95.3","88.4","435","146","418","114",47.5,"20",8.3,5.6
"Soto, Juan","665742","238","9.1",33.2,"115.7","94.4","105.7","99.8","89.9","447","162","408","137",57.6,"44",18.5,11.9
"Machado, Manny","592518","238","11",31.9,"114.4","92.1","102.9","94.2","92.1","438","159","399","114",47.9,"19",8,5.8
"Tatis Jr., Fernando","665487","238","11",34.9,"116.7","93.2","103.8","97","89.3","446","171","411","128",53.8,"33",13.9,9.6
