,object_id,events,swing_indicator_from_samples,runs_game_t1,runs_game_t2,game_play,outs_inning,outs_play,count_balls_pa,count_balls_play,strikes_pa,strikes_play,eventId_pitch,pitch_type,pitch_result,pitch_action,pitch_speed_mph,pitch_speed_kph,pitch_speed_mps,pitch_spin_rpm,eventId_hit,hit_speed_mph,hit_speed_kph,hit_speed_mps,hit_spin,stroke_type,stroke_attempt,bat_nearest,bat_hit,bat_first,bat_last,swing_displacement_head_nearest,swing_displacement_handle_nearest,swing_time_nearest,found_nearest_inidicator,hit_inidicator,swing_displacement_head_hit,swing_displacement_handle_hit,swing_time_hit,bat_average_speed_bhit,bat_max_speed_bhit,bat_total_displacement_bhit,bat_max_instantaneous_displacement_bhit,bat_swing_duration_bhit,ball_ahit_flight_time,ball_ahit_height,ball_ahit_range,ball_hit_position,bat_hit_position,relative_distance_from_handle_to_hit,eventId_events,hit_spray_angle,hit_launch_angle,events_type,hit_indicator,events_teamId,events_personId
0,12345634_48412.jsonl,"{'start': {'angle': [77.21864803659041, 44.42576835970264]}, 'type': 'Hit', 'teamId': {'mlbId': 63813}, 'personId': {'mlbId': 797957728}, 'eventId': '5029b625-927b-4abb-875e-a7ba770b3c22'}",SwingRecorded,0,0,0,2,0,0,0,0,1,b399ec13-6ecc-450c-bdb6-df56da3aaa85,Cutter,Strike,Foul,90.0,144.0,40.0,2980.0,5029b625-927b-4abb-875e-a7ba770b3c22,74.0,119.0,33.0,3020.0,{},{},[],"[{'event': 'Hit', 'time': 0.424501117792854, 'head': {'pos': [0.7212574296984022, 0.46466678852790577, 2.2383948805324136]}, 'handle': {'pos': [-1.6418688137689812, 0.9876421004204871, 3.4863488326708403]}}]","[{'event': 'First', 'time': -0.4196793, 'head': {'pos': [-4.281632087721705, -0.32103105659163744, 6.01563604892361]}, 'handle': {'pos': [-1.844093789763758, -1.4189589210566966, 5.497737085330517]}}]","[{'event': 'Last', 'time': 0.8335517, 'head': {'pos': [-2.5545602721918237, -2.1882981059004885, 4.777742011841756]}, 'handle': {'pos': [-4.018126449339347, 0.10769283286592932, 4.818454912544339]}}]",,,,No,Hit,6.3177349953544875,3.142977270110056,0.844180417792854,13.874924839098586,134.5151541244158,6.268651584317174,0.4483390086966745,0.8432649999999997,,,,[0.63711021 0.623277   2.50301956],[0.52621016 0.50783203 2.34139827],0.9174621892311471,5029b625-927b-4abb-875e-a7ba770b3c22,77.21864803659041,44.42576835970264,Hit,Hit,63813.0,797957728.0
1,12345634_48583.jsonl,{'eventId': ''},SwingRecorded,0,0,0,2,0,0,0,1,1,fa63174b-1c69-4c65-8b46-06965b12274d,Curveball,Strike,{},79.0,127.0,35.0,2930.0,{},,,,,{},{},,,,,6.115178458396897,6.115178458396897,-2.1552700000000002,Nearest,NoHit,,,,,,,,,,,,,,,,,,,,,
2,12345634_48653.jsonl,{'eventId': ''},SwingRecorded,6,0,0,0,0,0,0,0,1,83a06b35-347d-4feb-9df1-0f5929f7bf4a,Sinker,Strike,{},91.0,146.0,40.0,2300.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.421779375553512, 'head': {'pos': [0.10948534720508943, 0.6105905651205479, 2.343727924103832]}, 'handle': {'pos': [-2.157760372227517, 1.5249372936163574, 3.543238154937593]}}]",[],"[{'event': 'First', 'time': -0.4190902, 'head': {'pos': [-3.966400172146759, -0.12186162073115127, 5.572745557171434]}, 'handle': {'pos': [-1.736233864775286, -1.229013429232239, 4.470098287883025]}}]","[{'event': 'Last', 'time': 0.8274397999999998, 'head': {'pos': [-1.247440856827479, -2.049036357340693, 3.5611528605537743]}, 'handle': {'pos': [-3.601523335935224, -0.8856663513292506, 4.282348948134812]}}]",5.251274497308488,2.936153757282954,0.840869575553512,Nearest,NoHit,,,,10.303980839643932,121.08053485825674,5.2175656069432526,0.4035614226825667,0.839909,,,,,,,,,,,,,
3,12345634_48672.jsonl,{'eventId': ''},SwingRecorded,6,0,0,1,0,0,1,0,0,1b4c3be7-3030-404b-9769-9ffca9a327ec,Slider,Ball,Called,87.0,139.0,39.0,2750.0,{},,,,,{},{},,,,,6.209603360314029,6.209603360314029,-2.1549110000000002,Nearest,NoHit,,,,,,,,,,,,,,,,,,,,,
4,12345634_49682.jsonl,{'eventId': ''},SwingRecorded,0,0,0,0,0,2,0,1,1,ccbcaeee-fc79-42db-856f-9465db67be00,Curveball,Strike,{},79.0,126.0,35.0,2900.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4605127617676874, 'head': {'pos': [-0.023810980274492917, 3.6415652438624244, 2.788341773466046]}, 'handle': {'pos': [-1.8296152458363157, 1.7081039699653888, 3.433366069822784]}}]",[],"[{'event': 'First', 'time': -0.3503876, 'head': {'pos': [-2.7005819395226855, -0.18780027026849352, 6.4308297530453435]}, 'handle': {'pos': [-1.5386534422972888, -1.695817862367357, 4.483764526781158]}}]","[{'event': 'Last', 'time': 0.8395264, 'head': {'pos': [-1.6370658571315848, -4.423957436168055, 4.374061740335259]}, 'handle': {'pos': [-3.3217574104858962, -2.29165330664738, 4.548278144146843]}}]",5.924260434051606,3.5741683690238677,0.8109003617676874,Nearest,NoHit,,,,16.719476701847633,130.73747644276764,5.929370899384976,0.43574800898374855,0.8099409999999998,,,,,,,,,,,,,
8,12345634_49565.jsonl,{'eventId': ''},SwingRecorded,2,0,0,2,0,0,0,1,0,8423c26e-de73-4df7-88c7-692d5ce253e3,Changeup,HitIntoPlay,{},84.0,135.0,38.0,1960.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.444712996741909, 'head': {'pos': [-0.7211459292880511, 1.7430582850347331, 1.9681104369733153]}, 'handle': {'pos': [1.7117848383489838, 1.2318498524998562, 3.0793132557519716]}}]",[],"[{'event': 'First', 'time': -0.3851405000000002, 'head': {'pos': [3.1561011738403932, -1.2540030505564224, 6.602049303965918]}, 'handle': {'pos': [1.6160824418623054, -2.545419535090047, 4.764702397499219]}}]","[{'event': 'Last', 'time': 0.8414314999999998, 'head': {'pos': [3.3458132862215515, -4.217875448937958, 5.268048432120098]}, 'handle': {'pos': [3.7781157499776734, -1.7670550866128176, 4.162674279394342]}}]",6.744539359440201,4.137325166606635,0.8298534967419092,Nearest,NoHit,,,,14.509033305783058,126.5773691675856,6.57972715502856,0.4218823714355596,0.826603,,,,,,,,,,,,,
10,12345634_49209.jsonl,{'eventId': ''},SwingRecorded,7,0,0,2,0,0,1,1,0,77a95668-7783-4f39-b016-8b497b8da65d,Slider,Ball,Called,85.0,137.0,38.0,2520.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.45970110257722, 'head': {'pos': [-0.10124685804039232, -0.8101507609242022, 2.195467803511318]}, 'handle': {'pos': [-1.8273109944589958, 1.0242513737551182, 3.2303249392188427]}}]",[],"[{'event': 'First', 'time': -0.3932874000000003, 'head': {'pos': [-3.5162352139482236, -1.3031384226628429, 6.599709453861965]}, 'handle': {'pos': [-1.7584977596100868, -1.9011138551026, 4.607714898174952]}}]","[{'event': 'Last', 'time': 0.8532775999999997, 'head': {'pos': [-1.973957293923876, -2.6661501147408067, 4.881615581019858]}, 'handle': {'pos': [-1.8431245136840566, -0.303772706507687, 3.533537819629286]}}]",5.594866112812352,3.234145958755302,0.8529885025772204,Nearest,NoHit,,,,11.775930032020327,118.09695888491878,5.570836811657059,0.3936171639634379,0.8499300000000003,,,,,,,,,,,,,
11,12345634_49396.jsonl,"{'start': {'angle': [5.5272746846306395, 14.68951251117345]}, 'type': 'Hit', 'teamId': {'mlbId': 90068}, 'personId': {'mlbId': 485007791}, 'eventId': 'be40d556-8c6b-407d-a6d2-08a0360ade16'}",SwingRecorded,9,0,0,0,1,0,0,1,0,50e27f5c-f9c9-4a31-8f5e-f43de61844d4,FourSeamFastball,HitIntoPlay,{},95.0,152.0,42.0,2290.0,be40d556-8c6b-407d-a6d2-08a0360ade16,67.0,107.0,30.0,440.0,{},{},[],"[{'event': 'Hit', 'time': 0.400669061723781, 'head': {'pos': [0.6284082130027624, 0.7095465383937284, 1.5167797328493406]}, 'handle': {'pos': [-1.6309155832709117, 0.8904256030928327, 3.026083093216771]}}]","[{'event': 'First', 'time': -0.4353142000000003, 'head': {'pos': [-4.072871419700507, -0.8340013916728694, 4.494742016121844]}, 'handle': {'pos': [-1.3577670978871736, -1.0015689973683364, 4.6187883996377535]}}]","[{'event': 'Last', 'time': 0.8111088, 'head': {'pos': [-3.122806495214879, -4.961826464701786, 3.407088586724203]}, 'handle': {'pos': [-4.442410393557124, -2.5985320664028024, 3.7049862613037825]}}]",,,,No,Hit,5.775190884973158,2.488164756671713,0.8359832617237812,12.13328855479194,114.30878733851222,5.630863906550565,0.3809911881992647,0.8331710000000003,,,,[-0.28221773  0.98795317  2.13530799],[-0.2982338   0.78373251  2.13580739],0.5898586917326986,be40d556-8c6b-407d-a6d2-08a0360ade16,5.5272746846306395,14.68951251117345,Hit,Hit,90068.0,485007791.0
18,12345634_5430.jsonl,{'eventId': ''},SwingRecorded,9,0,0,2,0,1,0,1,1,bb03885f-bb1c-48f3-8601-5187b38ea8f2,Sinker,Strike,{},95.0,153.0,42.0,2310.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.413388404879448, 'head': {'pos': [-0.07974641797564934, -0.535775448807514, 3.59393099398805]}, 'handle': {'pos': [-2.198381950552859, 1.0329617393944084, 4.27635681451724]}}]",[],"[{'event': 'First', 'time': -0.4370811, 'head': {'pos': [-3.6870859126658613, -1.5467152133734032, 5.971934862034266]}, 'handle': {'pos': [-2.0736684855067664, -1.4839479091853924, 3.7791735076375716]}}]","[{'event': 'Last', 'time': 0.8328089, 'head': {'pos': [-1.5411113441002062, -0.8525845448313669, 3.9982487179862916]}, 'handle': {'pos': [-4.221531867825831, -1.1312853142623558, 4.38931083988043]}}]",4.4373189916857605,2.5685752603569356,0.850469504879448,Nearest,NoHit,,,,9.517118520365187,103.41871231412061,4.41163604032976,0.34510824299222403,0.849926,,,,,,,,,,,,,
19,12345634_49860.jsonl,{'eventId': ''},SwingRecorded,9,0,0,1,0,0,0,0,0,7d930164-b44f-400b-9211-a03cb97dc2a1,Sinker,HitIntoPlay,{},91.0,146.0,41.0,2200.0,{},,,,,{},{},"[{'event': 'Nearest', 'time': 0.4237731505935573, 'head': {'pos': [0.8983364966622946, 0.1326341139095427, 2.2173229267963275]}, 'handle': {'pos': [-1.3170502487347466, 0.43145937353053737, 3.7723222575366586]}}]",[],"[{'event': 'First', 'time': -0.4204276, 'head': {'pos': [-3.150441029258139, -0.7675587360063766, 6.200353826407787]}, 'handle': {'pos': [-1.4379969440737908, -2.435125931300293, 4.895741703833399]}}]","[{'event': 'Last', 'time': 0.8461504, 'head': {'pos': [-1.8666962552580504, -1.773608983746822, 3.6511717158255474]}, 'handle': {'pos': [-4.2386550114498265, -0.4360597382619637, 3.65678962463359]}}]",5.750433180961049,3.0812352499124724,0.8442007505935574,Nearest,NoHit,,,,11.690232451973113,137.7595942689644,5.694512246451435,0.45915272769846255,0.8432740000000001,,,,,,,,,,,,,
