,personId,mean_relative_distance_from_handle_to_hit,mean_bat_max_speed_bhit,mean_hit_spray_angle,mean_hit_launch_angle,std_relative_distance_from_handle_to_hit,std_bat_max_speed_bhit,std_hit_spray_angle,std_hit_launch_angle,mean_hit_speed,std_hit_speed,mean_prediction,Excellent,Fair,Good,Poor,So-so,N,total_weighted_score,scaled_score
27,797957728,0.8,131.3,-4.1,11.6,0.3,13.9,12.8,24.9,94.2,10.6,91.9,9,2,3,0,0,14,8730.6,9.1
30,854238128,0.8,130.6,-6.6,-0.8,0.1,15.7,27.5,32.5,91.0,17.6,88.6,5,0,1,1,1,8,4601.3,8.4
25,765710437,0.9,127.9,-9.3,16.1,0.1,7.7,18.3,11.2,95.6,7.0,92.5,4,1,2,0,0,7,4235.4,8.4
9,459722179,0.7,134.3,-0.5,8.3,0.0,19.7,18.6,43.1,91.3,13.2,91.4,4,1,2,0,0,7,4205.9,8.3
20,618024297,0.8,122.7,15.3,16.5,0.1,13.8,11.4,32.9,88.7,10.0,89.6,3,1,3,0,0,7,3824.9,8.2
15,558675411,0.8,135.2,-24.9,3.9,0.1,30.4,15.5,17.5,94.2,11.8,93.3,3,0,3,0,0,6,3688.1,8.2
0,172804761,0.7,122.5,-1.3,18.4,0.1,19.6,12.3,18.8,79.1,14.4,88.5,3,2,2,0,0,7,3626.4,8.2
4,352830460,0.7,145.0,19.5,-12.4,0.2,25.3,20.1,31.5,88.6,18.0,84.1,2,0,4,1,1,8,3545.0,8.2
12,505414610,0.8,129.7,-0.9,-4.7,0.2,20.6,18.7,30.5,91.7,14.7,89.8,3,0,2,0,1,6,3342.1,8.1
3,290569727,0.8,137.5,-1.7,13.6,0.1,9.8,28.8,11.4,96.0,16.6,96.3,3,0,2,0,0,5,3327.7,8.1
6,412098649,0.7,131.2,1.6,-3.7,0.1,12.9,7.1,21.6,92.4,11.2,91.5,3,0,2,0,0,5,3143.2,8.1
23,719146721,0.8,127.3,-19.1,8.5,0.1,3.2,28.2,31.3,84.1,13.0,83.6,2,4,1,0,1,8,3075.3,8.0
8,451871192,0.8,124.7,23.2,19.2,0.2,16.4,28.7,37.5,75.0,26.2,77.3,2,1,2,2,1,8,2899.6,8.0
1,174158975,0.8,128.1,-19.3,2.3,0.1,8.5,11.0,23.3,96.2,9.3,92.5,2,1,2,0,0,5,2769.9,7.9
18,590082479,0.8,120.5,6.0,17.4,0.2,11.9,27.5,21.6,93.0,11.0,83.3,2,2,1,0,1,6,2571.5,7.9
19,617522563,0.7,124.8,-23.5,-7.0,0.1,6.2,14.6,25.6,80.0,24.7,89.4,3,0,0,0,1,4,2452.1,7.8
5,360906992,0.7,133.7,-11.5,34.4,0.2,13.6,25.0,35.1,73.2,20.4,81.0,0,1,4,0,3,8,2436.0,7.8
14,545569723,0.7,131.3,-10.6,8.1,0.2,17.2,21.5,28.7,79.0,19.3,80.5,1,3,2,1,0,7,2391.1,7.8
11,485007791,0.8,122.6,-11.1,1.7,0.1,13.3,27.9,39.7,82.5,17.4,83.2,2,3,0,1,0,6,2338.4,7.8
21,654287703,0.9,125.2,0.1,-3.1,0.1,3.4,35.2,22.2,79.2,19.7,83.9,2,1,1,0,1,5,2299.9,7.7
2,223971350,0.8,114.6,-9.5,5.6,0.0,14.0,24.9,20.7,93.3,11.6,94.3,3,0,0,0,0,3,2263.9,7.7
24,719210239,0.9,125.6,2.4,8.3,0.2,4.0,18.6,50.8,84.4,28.3,79.6,2,0,1,2,0,5,2102.7,7.7
17,568527038,0.8,113.3,-1.3,-1.4,0.1,11.5,18.1,50.8,76.8,15.9,77.4,2,2,0,1,0,5,2028.2,7.6
29,849653732,0.8,131.3,5.4,6.9,0.1,1.3,26.2,4.1,89.0,18.7,93.0,2,0,1,0,0,3,1981.6,7.6
28,805688901,0.8,128.7,-30.5,-3.6,0.2,5.1,28.3,33.7,85.5,6.5,83.9,1,2,0,0,1,4,1416.3,7.3
22,686425745,0.6,138.4,-5.3,-10.4,0.2,29.2,27.6,9.4,102.0,4.2,94.1,1,0,1,0,0,2,1233.8,7.1
13,518481551,0.9,123.9,27.8,-0.9,0.1,2.2,12.8,4.0,82.7,12.9,84.5,0,1,2,0,0,3,1114.5,7.0
10,474808052,0.5,141.7,-21.7,34.0,0.2,28.5,15.5,30.5,85.5,7.0,76.4,0,1,1,1,1,4,904.4,6.8
16,563942271,0.8,87.2,-32.1,-9.7,,,,,82.0,,86.1,0,0,1,0,0,1,430.3,6.1
7,432216743,0.6,126.6,-4.6,4.0,,,,,81.0,,84.4,0,0,1,0,0,1,422.1,6.0
26,797796542,0.4,126.7,27.5,65.8,,,,,24.0,,53.8,0,0,0,1,0,1,53.8,4.0
